,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2016,28.9778991755,NE.EXP.GNFS.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1,2017,31.5698080476,NE.EXP.GNFS.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
2,2018,31.5719272135,NE.EXP.GNFS.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
3,2019,31.3042701298,NE.EXP.GNFS.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
4,2020,22.7039815429,NE.EXP.GNFS.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
5,2021,30.6161823962,NE.EXP.GNFS.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
6,2016,20.8724852102,NE.EXP.GNFS.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
7,2017,22.6322322911,NE.EXP.GNFS.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
8,2018,25.8611508242,NE.EXP.GNFS.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
9,2019,22.7134619101,NE.EXP.GNFS.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
10,2020,18.0011749475,NE.EXP.GNFS.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
11,2021,25.0266583855,NE.EXP.GNFS.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
12,2016,63.9344262295,NE.EXP.GNFS.ZS,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
13,2017,59.1503267974,NE.EXP.GNFS.ZS,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
14,2018,68.2316118936,NE.EXP.GNFS.ZS,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
15,2019,61.5740740741,NE.EXP.GNFS.ZS,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
16,2020,60.0846262341,NE.EXP.GNFS.ZS,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
17,2016,28.1244854472,NE.EXP.GNFS.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
18,2017,29.0041020031,NE.EXP.GNFS.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
19,2018,40.83628983,NE.EXP.GNFS.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
20,2019,40.7907550533,NE.EXP.GNFS.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
21,2020,37.9112729765,NE.EXP.GNFS.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
22,2021,37.8723469311,NE.EXP.GNFS.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
23,2016,72.61045999,NE.EXP.GNFS.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
24,2017,67.7413019674,NE.EXP.GNFS.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
25,2018,64.5248555713,NE.EXP.GNFS.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
26,2019,70.8847144857,NE.EXP.GNFS.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
27,2020,43.704418665,NE.EXP.GNFS.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
28,2016,12.527095169,NE.EXP.GNFS.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
29,2017,11.3202833597,NE.EXP.GNFS.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
30,2018,14.4366857499,NE.EXP.GNFS.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
31,2019,17.6959440659,NE.EXP.GNFS.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
32,2020,16.5918166323,NE.EXP.GNFS.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
33,2021,18.3008985891,NE.EXP.GNFS.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
34,2016,33.7442798606,NE.EXP.GNFS.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
35,2017,38.216045655,NE.EXP.GNFS.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
36,2018,39.3928940286,NE.EXP.GNFS.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
37,2019,41.3508013621,NE.EXP.GNFS.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
38,2020,29.7636780361,NE.EXP.GNFS.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
39,2021,35.0311819735,NE.EXP.GNFS.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
40,2016,71.8217562254,NE.EXP.GNFS.ZS,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
41,2017,72.5564588979,NE.EXP.GNFS.ZS,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
42,2018,73.7962316818,NE.EXP.GNFS.ZS,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
43,2019,74.582278481,NE.EXP.GNFS.ZS,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
44,2020,56.5450883867,NE.EXP.GNFS.ZS,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
45,2016,19.2698631393,NE.EXP.GNFS.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
46,2017,21.2253185048,NE.EXP.GNFS.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
47,2018,21.8697129487,NE.EXP.GNFS.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
48,2019,24.1697272879,NE.EXP.GNFS.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
49,2020,23.9838535267,NE.EXP.GNFS.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
50,2021,22.1821858627,NE.EXP.GNFS.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
51,2016,52.4063936498,NE.EXP.GNFS.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
52,2017,54.0511531415,NE.EXP.GNFS.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
53,2018,55.4406543755,NE.EXP.GNFS.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
54,2019,55.4422065446,NE.EXP.GNFS.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
55,2020,51.4350078994,NE.EXP.GNFS.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
56,2021,55.9488805364,NE.EXP.GNFS.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
57,2016,46.4276493913,NE.EXP.GNFS.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
58,2017,48.5478647328,NE.EXP.GNFS.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
59,2018,54.0922938621,NE.EXP.GNFS.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
60,2019,49.0506275016,NE.EXP.GNFS.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
61,2020,35.623555866,NE.EXP.GNFS.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
62,2021,46.6617200297,NE.EXP.GNFS.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
63,2016,33.2626366755,NE.EXP.GNFS.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
64,2017,32.0693338512,NE.EXP.GNFS.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
65,2018,35.8558459681,NE.EXP.GNFS.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
66,2019,35.6884057971,NE.EXP.GNFS.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
67,2020,25.2879014382,NE.EXP.GNFS.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
68,2021,27.4949592277,NE.EXP.GNFS.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
69,2016,74.2008275339,NE.EXP.GNFS.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
70,2017,75.7796814248,NE.EXP.GNFS.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
71,2018,79.2525219238,NE.EXP.GNFS.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
72,2019,76.4859607577,NE.EXP.GNFS.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
73,2020,72.7153247388,NE.EXP.GNFS.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
74,2016,13.9212044814,NE.EXP.GNFS.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
75,2017,12.8197468906,NE.EXP.GNFS.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
76,2018,12.6747879443,NE.EXP.GNFS.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
77,2019,13.0947573353,NE.EXP.GNFS.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
78,2020,10.4427877322,NE.EXP.GNFS.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
79,2021,10.6627789004,NE.EXP.GNFS.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
